UserID,Nome,Veiculo,Placa,Data,Horario,UF,BR,KM,Municipio,Causa_Frequente,Mensagem_IA
19,Julia Oliveira,Toyota Corolla,ABC-1291,2025-11-27,17:12,SC,101,"155,8",PORTO BELO,Reação tardia ou ineficiente do condutor,"**""Julia Oliveira, BR-101 KM 155,8 (PORTO BELO): Atenção! Reação lenta causa acidentes. Dirija com foco total e segurança!""**"
20,Carlos Silva,Chevrolet Onix,VWX-8188,2025-11-27,22:38,MG,381,"158,9",GOVERNADOR VALADARES,Ultrapassagem Indevida,"Carlos Silva, Onix, BR-381 KM 158,9 (GV): **ULTAPASSAGEM INDEVIDA!** Área de alto risco, redobre a atenção. PRF."
21,Bruno Lima,Hyundai Creta,STU-6660,2025-11-27,12:24,ES,259,55,COLATINA,Chuva,"Bruno Lima, Creta, BR-259 KM 55 Colatina: Atenção! Chuva na área, alto risco de acidentes. Dirija com cuidado!"
22,Lucas Gomes,Hyundai Creta,GHI-8936,2025-11-27,14:21,RN,101,"85,3",SAO GONCALO DO AMARANTE,Acessar a via sem observar a presença dos outros veículos,"Lucas Gomes, Creta, BR-101 KM 85,3 (São Gonçalo): Atenção ao acessar a via! Alto risco de acidentes por falta de atenção."
23,Julia Oliveira,Fiat Strada,JKL-7420,2025-11-27,06:24,RN,304,"294,6",MACAIBA,Acumulo de água sobre o pavimento,"Julia Oliveira, Fiat Strada, BR-304 KM 294,6 (Macaíba): Atenção! Acúmulo de água na pista, alto risco de acidentes. Redobre a atenção e reduza a velocidade."
24,Julia Oliveira,Nissan Kicks,ABC-5106,2025-11-27,21:39,PI,343,203,PIRIPIRI,Acessar a via sem observar a presença dos outros veículos,"Julia Oliveira, Kicks, BR-343 KM 203 (Piripiri): Atenção ao acessar a via! Alto risco de colisão por falta de visibilidade."
25,Mariana Costa,Hyundai Creta,PQR-4383,2025-11-27,15:43,TO,153,138,ARAGUAINA,Mal súbito do condutor,"Mariana, PRF alerta: KM 138 BR-153 Araguaína, Creta! Atenção à saúde, mal súbito causa acidentes frequentes. Previna-se!"
26,Lucas Gomes,Nissan Kicks,DEF-6045,2025-11-27,15:13,MG,40,152,JOAO PINHEIRO,Acessar a via sem observar a presença dos outros veículos,"**Lucas, Kicks, BR-040, KM 152 (João Pinheiro): Atenção ao acessar a via! Alto risco de acidentes.**"
27,Ana Souza,Hyundai Creta,DEF-6085,2025-11-27,14:37,BA,235,45,JEREMOABO,Ausência de reação do condutor,"Ana, Creta na BR-235, KM 45 em Jeremoabo: ALERTA! Reaja rápido, área de alto risco de acidentes por desatenção."
28,Ricardo Almeida,VW Gol,DEF-7327,2025-11-27,22:42,BA,324,"516,4",FEIRA DE SANTANA,Ausência de reação do condutor,"Ricardo Almeida, atenção! BR-324, KM 516.4 (Feira de Santana): Redobre a atenção. Evite acidentes por falta de reação."
29,Fernanda Pereira,Toyota Corolla,DEF-5224,2025-11-27,19:50,PE,116,23,SALGUEIRO,Ausência de reação do condutor,"**Fernanda Pereira (Corolla, BR-116, KM 23 Salgueiro): Atenção redobrada! Alto risco de acidentes por falta de reação. Dirija com foco!**"
30,Mariana Costa,VW Gol,DEF-8294,2025-11-27,11:54,SC,101,"305,9",LAGUNA,Estacionar ou parar em local proibido,"Mariana, atenção no KM 305,9 da BR-101 em Laguna! Proibido estacionar/parar: alto risco de acidentes! Dirija com segurança!"
31,Ricardo Almeida,Chevrolet Onix,ABC-5061,2025-11-27,21:58,SP,101,51,UBATUBA,Conversão proibida,"Ricardo Almeida, Onix na BR-101 KM 51 (Ubatuba): ALERTA! Área com alto risco de acidentes por conversão proibida. Atenção!"
32,Julia Oliveira,VW Gol,VWX-7327,2025-11-27,16:41,PR,369,481,CORBELIA,Transitar na contramão,"Julia Oliveira, VW Gol, BR-369, KM 481 (Corbélia): Atenção! Contramão frequente neste trecho. Redobre a atenção e evite acidentes."
33,Mariana Costa,Chevrolet Onix,PQR-9180,2025-11-27,19:53,MG,116,"569,1",MANHUACU,Ausência de reação do condutor,"Mariana, atenção no KM 569,1 BR-116 (Manhuaçu)! Alto risco de acidentes por falta de reação. Dirija com foco total!"
34,Carlos Silva,Hyundai Creta,VWX-3738,2025-11-27,06:29,PA,222,"100,2",RONDON DO PARA,Transitar na contramão,"Carlos Silva, Creta, BR-222 KM 100,2 (Rondon do Pará): Cuidado! Alto risco de acidentes por contramão. Atenção redobrada!"
35,Fernanda Pereira,Honda Civic,JKL-5070,2025-11-27,20:26,SC,101,"130,4",CAMBORIU,Acesso irregular,"Fernanda Pereira, Honda Civic, KM 130,4 BR-101 Camboriú: Atenção! Acesso irregular frequente. Risco de acidentes. Redobre a atenção!"
36,Julia Oliveira,Renault Kwid,JKL-5125,2025-11-27,09:51,RS,116,385,CAMAQUA,Ausência de reação do condutor,"Julia Oliveira, atenção no KM 385 da BR-116 em Camaquã! Muitos acidentes por falta de reação. Redobre a atenção!"
37,Ricardo Almeida,Honda Civic,MNO-4468,2025-11-27,22:50,SC,280,"45,6",GUARAMIRIM,Ingestão de álcool pelo condutor,"Ricardo, PRF alerta: BR-280, KM 45,6 (Guaramirim). Álcool e direção = Risco de acidente! Atenção redobrada!"
38,Ricardo Almeida,Renault Kwid,GHI-2426,2025-11-27,16:36,PB,230,56,CRUZ DO ESPIRITO SANTO,Acessar a via sem observar a presença dos outros veículos,"Ricardo, atenção no KM 56 BR-230 (Cruz do Espírito Santo)! Muitos acidentes ao acessar a via. Redobre a atenção! PRF na área."
39,Fernanda Pereira,Chevrolet Onix,MNO-6283,2025-11-27,07:30,RS,290,77,GRAVATAI,Reação tardia ou ineficiente do condutor,"Fernanda Pereira (Onix), BR-290 KM 77 (Gravataí): Atenção! Reaja rápido, evite acidentes. Área de risco por reação tardia. PRF na via!"
40,Pedro Santos,Chevrolet Onix,PQR-9707,2025-11-27,21:35,BA,116,"739,8",BOA NOVA,Reação tardia ou ineficiente do condutor,"Pedro, Onix, BR-116, KM 739,8 (Boa Nova): Atenção! Reaja rápido! Alto risco de acidentes por reação tardia. Dirija com cuidado!"
41,Bruno Lima,Honda Civic,DEF-7124,2025-11-27,14:57,SC,101,418,ARARANGUA,Condutor deixou de manter distância do veículo da frente,"**""Bruno, Honda Civic, BR-101 KM 418 Araranguá: Atenção! Alto risco de colisão traseira. Mantenha distância segura!""**"
42,Pedro Santos,Honda Civic,VWX-7843,2025-11-27,18:45,MG,381,"586,6",CARMOPOLIS DE MINAS,Condutor deixou de manter distância do veículo da frente,"Pedro, atenção! BR-381, KM 586,6 (Carmópolis): Mantenha distância segura do veículo à frente. Risco alto de colisão!"
43,Mariana Costa,Honda Civic,GHI-5683,2025-11-27,20:28,PR,116,173,QUITANDINHA,Acessar a via sem observar a presença dos outros veículos,"Mariana Costa, atenção no KM 173 da BR-116 em Quitandinha! Cuidado ao acessar a via, alto risco de acidentes por falta de atenção!"
44,Patricia Rocha,Hyundai Creta,JKL-5903,2025-11-27,13:31,MG,40,"545,4",NOVA LIMA,Carga excessiva e/ou mal acondicionada,"Patricia Rocha, Hyundai Creta, BR-040 KM 545,4 (Nova Lima): Atenção! Carga solta/excesso causa acidentes frequentes. Verifique!"
45,Julia Oliveira,Fiat Strada,JKL-4190,2025-11-27,18:47,SP,116,"536,9",BARRA DO TURVO,Retorno proibido,"Julia Oliveira (Strada, BR-116 KM 536,9): Atenção! Retorno proibido nesse trecho causa acidentes frequentes. Evite manobras irregulares!"
46,Pedro Santos,Hyundai Creta,PQR-4021,2025-11-27,18:56,GO,60,404,RIO VERDE,Reação tardia ou ineficiente do condutor,"Pedro Santos, Creta, BR-060 KM 404: Atenção! Reaja rápido, evite acidentes. Prudência!"
47,Lucas Gomes,Fiat Strada,GHI-3187,2025-11-27,14:16,TO,10,502,APARECIDA DO RIO NEGRO,Animais na Pista,"Lucas Gomes (Fiat Strada, BR-10, KM 502, Aparecida do Rio Negro): Atenção! Risco de animais na pista. Redobre a atenção e reduza a velocidade!"
48,Ana Souza,Nissan Kicks,ABC-5904,2025-11-27,21:56,RR,174,10,BOA VISTA,Condutor deixou de manter distância do veículo da frente,"Ana Souza, Nissan Kicks, BR-174, KM 10: Atenção! Mantenha distância segura. Risco de colisão traseira frequente."
49,Fernanda Pereira,Ford Ranger,JKL-6671,2025-11-27,17:22,GO,70,2,AGUAS LINDAS DE GOIAS,Estacionar ou parar em local proibido,"Fernanda Pereira, Ford Ranger, BR-70 KM 2 (Águas Lindas): Atenção! Proibido estacionar/parar. Alto risco de acidentes. PRF."
50,Lucas Gomes,Honda Civic,STU-6512,2025-11-27,22:24,PE,232,43,VITORIA DE SANTO ANTAO,Manobra de mudança de faixa,"Lucas Gomes, Honda Civic, BR-232 KM 43 (Vitória): Cuidado! Alto risco de acidentes por mudança de faixa. Atenção redobrada!"
